#***********************************************************#
# If you used results from CATS queries in your papers, we'd#
# be grateful to know where your paper will appear, and for #
# adding to your paper the following reference:             #
#---------------------------------------------------------- #
# The authors made use of the database CATS (Verkhodanov    #
# et al., 1997) of the Special Astrophysical Observatory.   #
#                                                           #
#   Verkhodanov O.V., Trushkin S.A., Andernach H.,          #
#      Chernenkov V.N. 1997. The CATS database to operate   #
#      with astrophysical catalogs. In "Astronomical Data   #
#      Analysis Software and Systems VI".                   #
#      Editors: Gareth Hunt and H. E. Payne                 #
#      ASP Conference Series, Vol. 125, P.322-325.          #
#***********************************************************#
# TASK: matching
# Search circle of radius of 3600 arcsec
# default input  epoch: J2000.0
# default output epoch: J2000.0
# 
# cat     name            RA         eRA       Dec       eDec     freq    Flux(Jy)   eFl  equi.    dist," pa,^
#-------------------------------------------------------------------------------------------------------------
#OBJECT: 3C343.1 16:38:28.21 62:34:44.31 2000
NVSS   J162956+623547     16 29 56.187      n   62 35 47.07     n     1400    0.0028    .0005 J       3535.4   89
NVSS   J163006+622815     16 30 06.683      n   62 28 15.51     n     1400    0.0078    .0006 J       3498.7   96
NVSS   J163016+623233     16 30 16.658      n   62 32 33.51     n     1400    0.0055    .0005 J       3402.2   92
NVSS   J163028+622930     16 30 28.759      n   62 29 30.21     n     1400    0.0042    .0007 J       3336.5   95
NVSS   J163044+625407     16 30 44.933      n   62 54 07.07     n     1400    0.0032    .0006 J       3372.2   70
NVSS   J163046+621555     16 30 46.171      n   62 15 55.28     n     1400    0.0499    .0019 J       3417.2  109
NVSS   J163046+624552     16 30 46.349      n   62 45 52.63     n     1400     0.004    .0007 J       3240.2   78
NVSS   J163125+621658     16 31 25.063      n   62 16 58.56     n     1400    0.0026    .0005 J       3138.6  110
NVSS   J163126+625525     16 31 26.309      n   62 55 25.69     n     1400    0.0048    .0018 J       3136.6   67
NVSS   J163128+630810     16 31 28.275      n   63 08 10.03     n     1400    0.0048    .0006 J         3482   55
NVSS   J163133+630240     16 31 33.830      n   63 02 40.68     n     1400    0.0048    .0010 J       3278.5   59
NVSS   J163134+624145     16 31 34.592      n   62 41 45.61     n     1400    0.0046    .0005 J       2876.9   82
NVSS   J163141+624256     16 31 41.793      n   62 42 56.33     n     1400    0.0029    .0007 J       2837.5   80
NVSS   J163142+625904     16 31 42.532      n   62 59 04.85     n     1400    0.0057    .0005 J       3126.2   62
NVSS   J163149+630558     16 31 49.777      n   63 05 58.11     n     1400    0.0097    .0010 J       3289.8   55
NVSS   J163151+624813     16 31 51.689      n   62 48 13.84     n     1400    0.0035    .0006 J       2836.3   73
NVSS   J163159+622906     16 31 59.377      n   62 29 06.07     n     1400    0.0035    .0006 J       2715.6   97
NVSS   J163159+615703     16 31 59.538      n   61 57 03.74     n     1400    0.0068    .0006 J       3553.2  130
NVSS   J163206+624059     16 32 06.765      n   62 40 59.33     n     1400    0.0029    .0006 J       2652.3   82
NVSS   J163220+621532     16 32 20.160      n   62 15 32.29     n     1400    0.0044    .0005 J       2816.1  114
NVSS   J163246+630358     16 32 46.891      n   63 03 58.58     n     1400    0.0077    .0022 J       2907.8   53
NVSS   J163259+623555     16 32 59.745      n   62 35 55.83     n     1400    0.0047    .0005 J       2268.6   88
NVSS   J163302+623005     16 33 02.718      n   62 30 05.35     n     1400    0.0046    .0006 J       2271.5   97
NVSS   J163308+615445     16 33 08.593      n   61 54 45.65     n     1400    0.0032    .0005 J       3293.7  137
NVSS   J163314+621921     16 33 14.018      n   62 19 21.20     n     1400    0.0036    .0006 J       2375.7  113
NVSS   J163317+623406     16 33 17.752      n   62 34 06.74     n     1400    0.0025    .0006 J       2145.6   91
NVSS   J163330+623054     16 33 30.576      n   62 30 54.01     n     1400    0.0037    .0017 J       2073.2   96
NVSS   J163339+625532     16 33 39.034      n   62 55 32.66     n     1400    0.0032    .0006 J       2335.8   58
NVSS   J163347+631821     16 33 47.153      n   63 18 21.26     n     1400    0.0548    .0005 J       3230.3   36
NVSS   J163352+625536     16 33 52.311      n   62 55 36.12     n     1400    0.0039    .0005 J       2261.5   56
NVSS   J163356+622805     16 33 56.657      n   62 28 05.21     n     1400    0.0035    .0006 J       1924.6  102
NVSS   J163402+615819     16 34 02.938      n   61 58 19.21     n     1400    0.0034    .0012 J       2875.8  139
NVSS   J163411+624953     16 34 11.868      n   62 49 53.72     n     1400     0.003    .0005 J       1977.2   63
NVSS   J163414+614428     16 34 14.314      n   61 44 28.67     n     1400    0.0131    .0006 J       3513.5  149
NVSS   J163418+620007     16 34 18.089      n   62 00 07.87     n     1400     0.004    .0009 J       2722.7  140
NVSS   J163426+623114     16 34 26.494      n   62 31 14.92     n     1400    0.0078    .0010 J         1686   97
NVSS   J163427+624349     16 34 27.001      n   62 43 49.04     n     1400    0.0038    .0005 J       1744.9   72
NVSS   J163433+620003     16 34 33.090      n   62 00 03.31     n     1400     0.003    .0008 J       2659.2  141
