#***********************************************************#
# If you used results from CATS queries in your papers, we'd#
# be grateful to know where your paper will appear, and for #
# adding to your paper the following reference:             #
#---------------------------------------------------------- #
# The authors made use of the database CATS (Verkhodanov    #
# et al., 1997) of the Special Astrophysical Observatory.   #
#                                                           #
#   Verkhodanov O.V., Trushkin S.A., Andernach H.,          #
#      Chernenkov V.N. 1997. The CATS database to operate   #
#      with astrophysical catalogs. In "Astronomical Data   #
#      Analysis Software and Systems VI".                   #
#      Editors: Gareth Hunt and H. E. Payne                 #
#      ASP Conference Series, Vol. 125, P.322-325.          #
#***********************************************************#
# TASK: selection
#    default input  epoch: J2000.0
#    default output epoch: J2000.0
#    RA limits:   00:06:00.000 00:07:59.999
#    Dec limits:  32:00:00.000 34:00:00.000
#    GLon limits: 0 360
#    GLat limits: -90 90
#    Flux limits: 0.001Jy 1000000Jy
#-------------------------------------------
# cat     name            RA          eRA      Dec        eDec     freq   Flux(Jy)   eFl equi.
#---------------------------------------------------------------------------------------------
NVSS   J000600+323652     00 06 00.176  0.181   32 36 52.05  2.54     1400    0.0066    .0005 J     
NVSS   J000602+332357     00 06 02.86   0.045   33 23 57.6   0.67     1400    0.0371    .0005 J     
NVSS   J000603+323936     00 06 03.54   0.207   32 39 36.58  2.51     1400    0.0056    .0005 J     
NVSS   J000603+333952     00 06 03.69   0.191   33 39 52.42   4.6     1400    0.0166    .0019 J     
NVSS   J000605+325511     00 06 05.93   0.253   32 55 11.07  3.49     1400    0.0043    .0012 J     
NVSS   J000606+325150     00 06 06.345  0.186   32 51 50.08  1.79     1400    0.0091    .0009 J     
NVSS   J000609+333301     00 06 09.962  0.314   33 33 01.58  4.65     1400    0.0049    .0005 J     
NVSS   J000612+335016     00 06 12.383  0.364   33 50 16.54  4.68     1400    0.0045    .0007 J     
NVSS   J000614+334326     00 06 14.832  0.275   33 43 26.68  4.05     1400    0.0043    .0005 J     
NVSS   J000616+321418     00 06 16.159  0.306   32 14 18.91  8.81     1400    0.0114    .0017 J     
NVSS   J000616+333002     00 06 16.88   0.373   33 30 02.26  8.94     1400    0.0031    .0032 J     
NVSS   J000616+335609     00 06 16.979   0.16   33 56 09.64  1.98     1400    0.0069    .0005 J     
NVSS   J000621+334349     00 06 21.106  0.314   33 43 49.68   3.5     1400    0.0055    .0007 J     
NVSS   J000621+323945     00 06 21.257  0.282   32 39 45.41  4.03     1400    0.0041    .0005 J     
NVSS   J000623+324806     00 06 23.83   0.602   32 48 06.68  8.81     1400    0.0030    .0007 J     
NVSS   J000624+330851     00 06 24.669  0.195   33 08 51.17  2.44     1400    0.0079    .0009 J     
NVSS   J000630+324606     00 06 30.081  0.476   32 46 06.69  9.81     1400    0.0032    .0008 J     
NVSS   J000630+323549     00 06 30.745  0.332   32 35 49.81  3.74     1400    0.0038    .0095 J     
NVSS   J000631+325833     00 06 31.74   0.113   32 58 33.64  1.53     1400    0.0095    .0005 J     
NVSS   J000637+323750     00 06 37.877  0.062   32 37 50.63  0.79     1400    0.0366    .0018 J     
NVSS   J000640+320035     00 06 40.662  0.473   32 00 35.62   5.6     1400    0.0099    .0020 J     
NVSS   J000644+335518     00 06 44.78   0.581   33 55 18.95  7.77     1400    0.0025    .0010 J     
NVSS   J000645+322710     00 06 45.329  0.214   32 27 10.87  2.56     1400    0.0058    .0006 J     
NVSS   J000650+324545     00 06 50.183   0.23   32 45 45.92  6.17     1400    0.0062    .0011 J     
NVSS   J000651+335901     00 06 51.7    0.148   33 59 01.86  1.77     1400    0.0078    .0005 J     
NVSS   J000652+335637     00 06 52.14   0.488   33 56 37.46  4.56     1400    0.0031    .0005 J     
NVSS   J000656+324421     00 06 56.547   0.22   32 44 21.66  2.87     1400    0.0054    .0005 J     
NVSS   J000658+323956     00 06 58.777  0.387   32 39 56.74   4.9     1400    0.0028    .0007 J     
NVSS   J000658+334112     00 06 58.81   0.086   33 41 13     1.11     1400    0.0235    .0012 J     
NVSS   J000659+331403     00 06 59.761  0.462   33 14 03.86  4.78     1400    0.0031    .0009 J     
NVSS   J000700+324108     00 07 00.653  0.201   32 41 08.12  2.75     1400    0.0062    .0008 J     
NVSS   J000704+335433     00 07 04.113   0.06   33 54 33.32  0.69     1400    0.0427    .0017 J     
NVSS   J000709+335445     00 07 09.322  0.146   33 54 45.25  1.85     1400    0.0073    .0005 J     
NVSS   J000714+322930     00 07 14.438  0.238   32 29 30.74  3.01     1400    0.0046    .0005 J     
NVSS   J000714+321616     00 07 14.832  0.251   32 16 16.07  3.21     1400    0.0042    .0005 J     
NVSS   J000715+321736     00 07 15.951  0.074   32 17 36.95  1.25     1400    0.0268    .0013 J     
NVSS   J000716+335740     00 07 16.214  0.345   33 57 40.27  4.31     1400    0.0031    .0005 J     
NVSS   J000719+323633     00 07 19.499  0.124   32 36 33.05  1.74     1400    0.0122    .0010 J     
NVSS   J000722+322458     00 07 22.028  0.908   32 24 58.97   5.2     1400    0.0042    .0007 J     
NVSS   J000723+325326     00 07 23.838  0.037   32 53 26.54  0.58     1400    0.0958    .0005 J     
NVSS   J000724+333629     00 07 24.977  0.313   33 36 29.29  4.52     1400    0.0080    .0012 J     
NVSS   J000728+322245     00 07 28.612  0.581   32 22 45.01  8.72     1400    0.0031    .0006 J     
NVSS   J000732+335248     00 07 32.504  0.382   33 52 48.17  5.91     1400    0.0036    .0005 J     
NVSS   J000734+331936     00 07 34.114  0.584   33 19 36.64  6.52     1400    0.0041    .0006 J     
NVSS   J000735+331548     00 07 35.691  0.624   33 15 48.04  4.99     1400    0.0042    .0009 J     
NVSS   J000737+322041     00 07 37.556  0.229   32 20 41.93   4.5     1400    0.0055    .0017 J     
NVSS   J000739+324236     00 07 39.635  0.238   32 42 36.74  2.33     1400    0.0070    .0005 J     
NVSS   J000744+334021     00 07 44.68   0.048   33 40 21.98  0.69     1400    0.0342    .0005 J     
NVSS   J000745+322038     00 07 45.057  0.042   32 20 38.7   0.63     1400    0.0435    .0005 J     
NVSS   J000746+325718     00 07 46.093  0.103   32 57 18.9   1.37     1400    0.0207    .0012 J     
NVSS   J000750+333441     00 07 50.984   0.39   33 34 41.53  5.65     1400    0.0035    .0005 J     
NVSS   J000757+323512     00 07 57.043  0.647   32 35 12.57  6.94     1400    0.0039    .0034 J     
NVSS   J000757+331612     00 07 57.664  0.072   33 16 12.54     1     1400    0.0192    .0010 J     
NVSS   J000757+331718     00 07 57.938    0.1   33 17 18.02  1.36     1400    0.0148    .0010 J     
NVSS   J000758+333857     00 07 58.36   0.074   33 38 57.51  0.98     1400    0.0157    .0007 J     
#----------------------------------------------------------------
#The catalogue identifications listed are related to the following references:
#----------------------------------------------------------------
# NVSS   : 1998AJ....115.1693Condon+ 1996: NVSS survey catalog (updated! - v.40, Jul-02);
